slug,douban_image_url
book-35031587,https://img3.doubanio.com/view/subject/l/public/s33685372.jpg
book-37422829,https://img3.doubanio.com/view/subject/l/public/s35235823.jpg
book-35494160,https://img9.doubanio.com/view/subject/l/public/s33958826.jpg
book-35330057,https://img9.doubanio.com/view/subject/l/public/s33925034.jpg
book-35579302,https://img9.doubanio.com/view/subject/l/public/s34021255.jpg
book-24882304,https://img9.doubanio.com/view/subject/l/public/s27062236.jpg
book-26246928,https://img3.doubanio.com/view/subject/l/public/s27903133.jpg
book-27132345,https://img9.doubanio.com/view/subject/l/public/s34530684.jpg
book-35023731,https://img1.doubanio.com/view/subject/l/public/s33663520.jpg
book-36206462,https://img3.doubanio.com/view/subject/l/public/s34518953.jpg
book-36539569,https://img2.doubanio.com/view/subject/l/public/s34651821.jpg
book-35947060,https://img2.doubanio.com/view/subject/l/public/s34296181.jpg
book-37279279,https://img1.doubanio.com/view/subject/l/public/s35106938.jpg
book-37669539,https://img3.doubanio.com/view/subject/l/public/s35282243.jpg
book-36226284,https://img9.doubanio.com/view/subject/l/public/s34471784.jpg
